num_self,num_staff,j,cost,Wq_Exp,Wq_Reg,Wq_All
0,7,1,700,1093.9739360549663,1100.7990482796906,1095.3457445833658
0,7,2,700,1186.552423464561,1195.1223986677865,1188.278679095897
0,7,3,700,1155.403001035914,1145.992509425081,1153.5007558419663
0,7,4,700,1042.1752702525714,1041.9366395456238,1042.1278515670363
0,7,5,700,1094.4570886941226,1106.9315019153328,1096.9585388522935
0,7,6,700,1114.0052875896774,1122.86697970556,1115.777856306308
0,7,7,700,1114.6468967777475,1105.0142918250035,1112.676602575918
0,7,8,700,1140.5955636542549,1135.377785611925,1139.5564508718514
0,7,9,700,1079.375181349398,1096.8321987159645,1082.8308824729368
0,7,10,700,1058.724181407464,1061.2740679892504,1059.2289095511271
0,7,11,700,1081.119271210758,1078.6663114664893,1080.629093814802
0,7,12,700,1131.6934432991643,1122.994745380025,1129.9535709175461
0,7,13,700,1134.81914059776,1141.0182128556346,1136.073204683476
0,7,14,700,1051.2646961827222,1053.1451833982626,1051.6350864890926
0,7,15,700,1000.5044681003186,1002.1825306418652,1000.8363240707583
0,7,16,700,1081.6927684748941,1085.6120661940777,1082.4791380266731
0,7,17,700,1104.7342263324394,1091.6618237951348,1102.1088546929518
0,7,18,700,1182.4945745487662,1153.4834569038487,1176.6923510197828
0,7,19,700,1119.309286255398,1125.4174827839563,1120.5293272541246
0,7,20,700,1118.474978701758,1111.562838509985,1117.1097411148382
0,7,21,700,1114.1788844051146,1115.4208677129395,1114.4277800092939
0,7,22,700,1123.6135310272994,1103.8235060307345,1119.7172662116807
0,7,23,700,1098.301222788215,1095.9592966496643,1097.8362625046248
0,7,24,700,1102.9336415785629,1114.0284014470542,1105.1525935522611
0,7,25,700,1098.292605018526,1099.4412146329803,1098.5198656140703
0,7,26,700,1058.719881535877,1055.24491468373,1058.0227974492689
0,7,27,700,1156.1224124715582,1170.5658300761938,1159.0523166088196
0,7,28,700,1077.6668850208932,1088.7055547029347,1079.9117917622634
0,7,29,700,1063.9442045804644,1066.3575336105664,1064.4129988434902
0,7,30,700,1115.8089716268405,1112.3273075317086,1115.1020759995909
0,7,31,700,1182.1350903489513,1197.8498104962803,1185.2977961861268
0,7,32,700,1052.9812221889242,1060.7279598924154,1054.5258086104193
0,7,33,700,1089.7423164045335,1090.7613382263207,1089.9473520260585
0,7,34,700,1118.7828273482733,1130.702386742514,1121.2000418377688
0,7,35,700,1001.9496240273621,1007.0543090028013,1002.9636134130574
0,7,36,700,1180.4031442669377,1174.7183171361005,1179.270544508604
0,7,37,700,1165.1529608444587,1156.4971034658367,1163.4004933354483
0,7,38,700,1056.9356465672386,1053.034793703093,1056.1621273687078
0,7,39,700,1080.0584812481272,1088.2106091364124,1081.6787164048988
0,7,40,700,1074.9201475755126,1074.7743345233353,1074.8916010661355
0,7,41,700,1084.4182078745664,1096.2220582434682,1086.8745164079894
0,7,42,700,1109.0906612462556,1114.6414804049368,1110.2050458024166
0,7,43,700,1032.808563812617,1046.4718417570602,1035.5433901764968
0,7,44,700,1113.7462655352726,1106.2899510962056,1112.2772319451883
0,7,45,700,1188.701610562223,1203.235960612877,1191.6615713337073
0,7,46,700,1059.954486043944,1063.4417023435685,1060.650074164376
0,7,47,700,1120.8315043386833,1118.301903892062,1120.3185530603682
0,7,48,700,1122.9715860326046,1114.2332570344113,1121.2172867045922
0,7,49,700,1141.5653659864308,1145.4590979963891,1142.3453152403756
0,7,50,700,1045.1557490257894,1032.8405732519054,1042.753327286097
4,6,1,640,1.4955305808847763,7.84996040415284,2.7691014802107947
4,6,2,640,1.323578696208576,6.7526754195893455,2.4068885263506017
4,6,3,640,1.4263813066233713,7.866579738222964,2.7247656546143664
4,6,4,640,1.405280303658197,7.491011317935063,2.6322333924144012
4,6,5,640,1.3217538163463851,6.905077980315731,2.431661625529726
4,6,6,640,0.9681000169030979,5.2942086988505785,1.8243497789356282
4,6,7,640,1.4433522110803176,7.219757146211699,2.602053294410401
4,6,8,640,1.1993747953332625,7.072916378184094,2.3729366897975925
4,6,9,640,1.1261917474922862,6.936449188340245,2.2991022147932587
4,6,10,640,1.179593359756277,6.523413101965825,2.243152565993576
4,6,11,640,1.2009044236167667,6.529289588313727,2.2642973444908465
4,6,12,640,1.4514089538546815,7.277473126539142,2.6409261279542693
4,6,13,640,1.3438760589321996,7.209288557096204,2.522237957753267
4,6,14,640,1.6751774497323557,8.872322786092163,3.1225127922051583
4,6,15,640,1.1144833728408783,6.496735715313166,2.1936257750866974
4,6,16,640,1.2885142439266108,6.56409267858249,2.3398825210290064
4,6,17,640,1.034215654317333,5.602272255986365,1.9377288855956756
4,6,18,640,1.0744254263037023,6.170681500095956,2.099920923888332
4,6,19,640,1.191817338724426,5.9444836800143,2.138130767037743
4,6,20,640,1.4296135890997534,7.518053312186784,2.642425906311284
4,6,21,640,1.3432518253305428,7.285953829244041,2.526094639052664
4,6,22,640,1.3281437182000166,6.573543973397205,2.3766795645881698
4,6,23,640,1.2292205927765893,7.221370327768202,2.4346207836256872
4,6,24,640,1.1217694902452102,6.4674877879592785,2.1956553192456734
4,6,25,640,1.1734040685753913,6.4688247873637925,2.2225597615660693
4,6,26,640,1.0642950099904345,5.209551878707906,1.8886344554954824
4,6,27,640,1.2057531142083329,6.2021990561883396,2.1902473611004547
4,6,28,640,1.1398043858402482,6.491875668210227,2.2015400142138306
4,6,29,640,1.3779208034017751,7.228167799560032,2.5535718894268875
4,6,30,640,1.30695085589981,6.564894509228949,2.349902609520741
4,6,31,640,1.4063440745494036,8.693453187084796,2.8763165735035745
4,6,32,640,1.1467649412453944,6.44521362811579,2.2052864498049702
4,6,33,640,0.9439265784423969,5.078545895513355,1.7648922240181955
4,6,34,640,1.1398918301746626,6.417439101842986,2.1841963910287308
4,6,35,640,1.5278342638515097,7.672302405354129,2.746743070090261
4,6,36,640,1.3373260240725446,7.492392665375605,2.6014509179212517
