num_self,num_staff,j,cost,Wq_Exp,Wq_Reg,Wq_All
0,7,1,700,115.2146369247094,116.30919170536656,115.43249060881071
0,7,2,700,107.31897877655207,105.58074062108112,106.96560817687703
0,7,3,700,130.61453571584212,124.71407301710472,129.41423401480162
0,7,4,700,123.21691888115582,117.93455049324977,122.18941565039705
0,7,5,700,99.8568053688252,99.75992863831797,99.83684351463678
0,7,6,700,101.66833596307957,100.38951248649066,101.4013827891485
0,7,7,700,92.57251442463526,89.59575553892984,92.01880074724514
0,7,8,700,121.20885445517125,116.27064906678926,120.19648371044818
0,7,9,700,125.86525317459343,124.21512572807157,125.5214766232347
0,7,10,700,106.46390141765868,103.37850909764042,105.85761869757395
0,7,11,700,125.24954356200165,120.88519535243711,124.3552382515654
0,7,12,700,134.18250804161704,138.64621073784568,135.08944626423985
0,7,13,700,112.85288299790712,119.93105813980397,114.2514393195098
0,7,14,700,114.21464055421959,113.06994630454,113.98320289147252
0,7,15,700,98.83305849862676,102.91702075345485,99.65327296562155
0,7,16,700,127.1662340421205,124.79125662648232,126.68019805484322
0,7,17,700,118.91799890932606,124.56469418614283,120.08898649211864
0,7,18,700,112.75826246365634,114.89152509560357,113.1855853003779
0,7,19,700,99.7062615585938,96.18104074994916,99.0082622767349
0,7,20,700,120.81676174796614,124.40723647949933,121.54068696447283
0,7,21,700,113.95206113829765,109.7496818914579,113.12808594743731
0,7,22,700,104.95522397733536,103.82891903072957,104.72288820819884
0,7,23,700,113.85020562690076,111.59001675980998,113.41695151559841
0,7,24,700,102.54480549823866,101.0296046676017,102.26065792133654
0,7,25,700,78.1262609282101,78.7390538083381,78.24296894643878
0,7,26,700,117.37376124791211,118.41414252030506,117.57984316129347
0,7,27,700,112.79842623195849,108.92426499750627,111.9883199861741
0,7,28,700,104.6918611124155,105.65851891373728,104.89372726706635
0,7,29,700,107.90649739483771,112.5335059395684,108.83843476848214
0,7,30,700,98.61269391345334,99.13763483432905,98.7128906550325
4,6,1,640,1.166810768514672,6.459554434681511,2.2104355621015808
4,6,2,640,1.1743536735121467,6.202116335219964,2.168767154639453
4,6,3,640,1.270011127181851,6.483178122634534,2.306135940816929
4,6,4,640,0.9598242080517119,4.813843973871386,1.7539533057270777
4,6,5,640,1.0016185522111014,6.150521489418215,1.9707744523902362
4,6,6,640,1.7672830250495677,9.153394111322422,3.389597482486574
4,6,7,640,0.8406872447552144,4.305833174576311,1.5130083873141285
4,6,8,640,0.871512994401919,4.875025939681211,1.6490446505770087
4,6,9,640,1.7380069100511968,9.226820201611616,3.3032794129541325
4,6,10,640,1.081621460822575,4.6190180820778695,1.7741990139509936
4,6,11,640,1.0996518372301678,4.6868221396296414,1.8052418081269437
4,6,12,640,2.3815267877535726,13.849166559773167,4.648624259074752
4,6,13,640,1.0254559660432734,5.446744685948679,1.9157984627657747
4,6,14,640,1.1834490657059622,5.641314451734474,2.0560867098954745
4,6,15,640,1.354095465200753,4.607619241289072,2.014777608054937
4,6,16,640,0.5512332000289565,4.102634917163766,1.2756709548813074
4,6,17,640,1.205943774632243,6.415892472083095,2.2226455196490096
4,6,18,640,1.1739152379664164,7.197892490213887,2.4288597817261945
4,6,19,640,1.4179359695294746,8.501680367266589,2.9053596522937277
4,6,20,640,1.1554387118729348,5.678281350330093,2.0618073759378817
4,6,21,640,1.2172251495574573,7.742228421062675,2.4973735795353704
4,6,22,640,0.9045734213144678,5.739515487144536,1.8463949688725572
4,6,23,640,1.6767851532183322,8.673536247867657,3.1151273989032577
4,6,24,640,1.6009707326122693,7.807096639970496,2.8431936835223968
4,6,25,640,1.256118208657444,5.253376995057118,2.0920621334223064
4,6,26,640,0.5939546041843051,3.5108411597842535,1.1540595256709425
4,6,27,640,1.765141127835593,14.758168156491053,4.313813363240387
4,6,28,640,0.7825407858120195,3.658451006589048,1.3467647610272937
4,6,29,640,0.7718713936422867,3.527668516997005,1.283920654052331
4,6,30,640,1.4051090031876998,8.7058036730460735,2.922060402700992
5,6,1,650,0.3026704918154246,3.6232436925950418,0.9397415657899582
5,6,2,650,0.34450199031896417,4.319792426603029,1.1504666642075025
5,6,3,650,0.49638034276037507,5.996943382931286,1.611595969090291
5,6,4,650,0.34522271777120805,6.065915990245696,1.4699613627833499
5,6,5,650,0.2971256102611634,2.5055382636902497,0.7404217568496282
5,6,6,650,0.20579826848025892,2.3390337566419057,0.623151547006998
5,6,7,650,0.26088306399718614,3.1887541701806987,0.8272814162546395
5,6,8,650,0.4020012511737289,5.051490610514478,1.3283506073629283
5,6,9,650,0.3892720306852754,4.889866394863718,1.2559191464406418
5,6,10,650,0.37999869793522767,3.9545395074370573,1.0683129019530855
5,6,11,650,0.5164478686050203,4.799329482131965,1.3737032054385943
5,6,12,650,0.3588056922497672,4.306879357652923,1.1314578699685953
5,6,13,650,0.4142143690250841,5.370024210454784,1.3930224489239509
5,6,14,650,0.413635337346634,4.576645694619017,1.238249221827332
5,6,15,650,0.31328861826559734,4.218572137674361,1.0905072056663585
5,6,16,650,0.33514333887645337,4.154578694464865,1.0786212134375563
5,6,17,650,0.39173124753525945,3.8609236625957415,1.0805398905577395
5,6,18,650,0.3548608130457942,3.4524096039072054,0.976359366589416
5,6,19,650,0.3834205931407275,5.684740912832202,1.4533821942491898
5,6,20,650,0.41309481274732723,6.154216728204244,1.5624651283567659
5,6,21,650,0.2385304938930383,3.4728931297657306,0.8395122911545966
5,6,22,650,0.3466075685256955,4.404533152452421,1.1601550107999434
